lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,,, 
1,Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
101,EarlySuccession Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
102,PoleSuccession Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
103,MidSuccession Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
104,LateSuccession Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
105,OldGrowth Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,,
106,OldGrowth Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,,
2,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
201,EarlySuccession ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
202,PoleSuccession ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
203,MidSuccession ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
204,LateSuccession ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
205,OldGrowth ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
206,OldGrowth ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
3,PalmForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
301,EarlySuccession PalmForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
302,PoleSuccession PalmForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
303,MidSuccession PalmForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
304,LateSuccession PalmForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
305,OldGrowth PalmForest ,5,1.3,0.8,0.84,150,150,0,,,,,,,,
306,OldGrowth PalmForest ,5,1.3,0.8,0.84,150,150,0,,,,,,,,
4,Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,,
401,EarlySuccession Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,,
402,PoleSuccession Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,,
403,MidSuccession Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,,
404,LateSuccession Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,,
405,OldGrowth Mangrove  ,5,1.9,0.8,0.4,150,150,0,,,,,,,,
406,OldGrowth Mangrove  ,5,1.9,0.8,0.4,150,150,0,,,,,,,,
5,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
6,Grassland ,7.5,0.4,0.4,0.5,150,150,0,,,,,,,,
7,MoorAndHeathland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
8,WaterBody           ,0,0.6,0.02,0.05,150,150,0,,,,,,,,
9,BareArea            ,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
10,NoData,0,0,0,0,150,150,0,,,,,,,,
11,ArableLand          ,153.35,40.31,0.25,0.74,150,150,0,,,,,,,,
12,Coffee,153.35,40.31,0.25,0.74,150,150,0,,,,,,,,
13,Pineapple,153.35,40.31,0.25,0.74,150,150,0,,,,,,,,
14,PermanentCropland   ,153.35,40.31,0.25,0.74,150,150,0,,,,,,,,
0,WaterBody           ,0,0.6,0.02,0.05,150,150,0,,,,,,,,
15,NoData,0,0,0,0,150,150,0,,,,,,,,
